col_a,col_b,rvalue
0,00-01_0,1
0,00-01_2,1
0,01-00_0,1
0,01-00_2,1
0,01-01_0,2
0,01-01_2,1
0,02-00_0,1
0,02-00_2,1
0,02-00_3,1
0,02-00_5,1
0,02-01_0,2
0,02-01_2,1
0,03-00_0,2
0,03-00_2,1
0,03-00_3,1
0,03-00_5,1
0,03-01_0,3
0,03-01_2,1
0,03-01_5,1
0,04-00_0,1
0,04-00_1,1
0,04-00_2,1
0,04-00_3,1
0,04-00_5,1
0,04-01_0,2
0,04-01_2,1
0,04-01_3,1
0,04-01_5,1
0,05-00_0,1
0,05-00_2,1
0,05-00_3,1
0,05-00_5,1
0,05-01_0,2
0,05-01_2,1
0,05-01_3,1
0,05-01_5,2
0,06-00_0,3
0,06-00_2,1
0,06-00_3,1
0,06-00_5,1
0,06-01_0,2
0,06-01_2,1
0,06-01_3,1
0,07-00_0,3
0,07-00_1,1
0,07-00_2,1
0,07-00_3,1
0,07-00_4,1
0,07-00_5,1
0,07-01_0,3
0,07-01_1,2
0,07-01_2,3
0,07-01_3,1
0,07-01_4,1
0,07-01_5,2
1,00-01_1,1
1,00-01_2,1
1,00-01_3,1
1,00-01_4,1
1,00-01_5,1
1,01-00_1,1
1,01-00_3,1
1,01-00_4,1
1,01-00_5,1
1,01-01_1,2
1,01-01_2,1
1,01-01_3,2
1,01-01_4,2
1,01-01_5,2
1,02-00_1,1
1,02-00_2,1
1,02-00_3,1
1,02-00_4,1
1,02-00_5,1
1,02-01_1,2
1,02-01_2,1
1,02-01_3,2
1,02-01_4,2
1,02-01_5,2
1,03-00_1,2
1,03-00_3,2
1,03-00_4,2
1,03-00_5,2
1,03-01_1,3
1,03-01_3,2
1,03-01_4,2
1,03-01_5,2
1,04-00_1,1
1,04-00_2,1
1,04-00_3,1
1,04-00_4,1
1,04-00_5,1
1,04-01_1,2
1,04-01_2,1
1,04-01_3,1
1,04-01_4,1
1,04-01_5,2
1,05-00_1,1
1,05-00_2,1
1,05-00_3,1
1,05-00_4,1
1,05-00_5,1
1,05-01_1,2
1,05-01_2,2
1,05-01_3,1
1,05-01_4,2
1,05-01_5,2
1,06-00_1,1
1,06-00_2,1
1,06-00_3,1
1,06-00_4,1
1,06-00_5,1
1,06-01_1,5
1,06-01_2,1
1,06-01_3,3
1,06-01_4,5
1,06-01_5,3
1,07-00_1,3
1,07-00_2,1
1,07-00_3,2
1,07-00_4,2
1,07-00_5,3
1,07-01_0,1
1,07-01_1,3
1,07-01_2,2
1,07-01_3,3
1,07-01_4,3
1,07-01_5,3
2,00-01_2,1
2,00-01_3,1
2,00-01_4,1
2,00-01_5,1
2,01-00_2,1
2,01-01_2,2
2,01-01_3,1
2,01-01_4,1
2,01-01_5,1
2,02-00_2,1
2,02-00_4,1
2,02-00_5,1
2,02-01_2,2
2,02-01_4,1
2,03-00_2,2
2,03-00_4,1
2,03-01_2,3
2,04-00_2,1
2,04-00_3,1
2,04-00_4,1
2,04-00_5,1
2,04-01_2,3
2,04-01_5,1
2,05-00_2,1
2,05-00_3,1
2,05-00_4,1
2,05-00_5,1
2,05-01_1,1
2,05-01_2,2
2,05-01_3,1
2,05-01_4,1
2,05-01_5,1
2,06-00_2,1
2,06-00_3,1
2,06-00_4,1
2,06-00_5,1
2,06-01_2,2
2,06-01_3,1
2,06-01_4,1
2,07-00_2,3
2,07-00_3,1
2,07-00_4,1
2,07-00_5,1
2,07-01_1,1
2,07-01_2,3
2,07-01_3,1
2,07-01_4,1
2,07-01_5,1
3,00-01_3,1
3,00-01_4,1
3,00-01_5,1
3,01-00_3,1
3,01-00_4,1
3,01-00_5,1
3,01-01_1,1
3,01-01_3,2
3,01-01_4,1
3,01-01_5,2
3,02-00_3,1
3,02-00_4,1
3,02-00_5,1
3,02-01_1,1
3,02-01_3,3
3,02-01_4,2
3,02-01_5,2
3,03-00_3,2
3,03-00_4,2
3,03-00_5,2
3,03-01_3,2
3,03-01_4,1
3,03-01_5,1
3,04-00_3,1
3,04-00_4,1
3,04-00_5,1
3,04-01_1,1
3,04-01_3,1
3,04-01_4,2
3,04-01_5,1
3,05-00_3,1
3,05-00_4,1
3,05-00_5,1
3,05-01_1,1
3,05-01_3,2
3,05-01_4,2
3,05-01_5,2
3,06-00_3,1
3,06-00_4,1
3,06-00_5,1
3,06-01_1,3
3,06-01_3,5
3,06-01_4,3
3,06-01_5,3
3,07-00_1,1
3,07-00_3,2
3,07-00_4,2
3,07-00_5,1
3,07-01_1,2
3,07-01_3,3
3,07-01_4,3
3,07-01_5,3
4,00-01_4,1
4,00-01_5,1
4,01-00_4,1
4,01-00_5,1
4,01-01_1,1
4,01-01_3,1
4,01-01_4,2
4,01-01_5,2
4,02-00_4,1
4,02-00_5,1
4,02-01_1,1
4,02-01_4,3
4,02-01_5,2
4,03-00_1,1
4,03-00_3,1
4,03-00_4,2
4,03-00_5,2
4,03-01_1,1
4,03-01_3,1
4,03-01_4,3
